movie_title,critics_score,audience_score,img_url,movie_url
Heart Eyes,80%,77%,https://resizing.flixster.com/wNpErc_G1h1aAx-37ZGGL2X7eYY=/206x305/v2/https://resizing.flixster.com/mY0lXjBh9WP5jzEOlvhlz8XnmYA=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzMwYjdlZDc2LWFhYWUtNDU3Ny1hN2FmLTQxYWViOTljYzg1Ni5qcGc=,https://www.rottentomatoes.com/m/heart_eyes
Mission: Impossible - Dead Reckoning Part One,96%,94%,https://resizing.flixster.com/dWRhX5jvPYZoAnbDAsoAT-ltops=/206x305/v2/https://resizing.flixster.com/sjrE11CDEb_jyGqLlmWRMkkwAkI=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzdkOGMxYmM5LWU1M2UtNDA0MC1hOTg2LTU3YTg4YjgyN2M1Zi5qcGc=,https://www.rottentomatoes.com/m/mission_impossible_dead_reckoning_part_one
Novocaine,81%,85%,https://resizing.flixster.com/O8SRKborzNOgIo41jA3g9xRtX9I=/206x305/v2/https://resizing.flixster.com/MdoLqYBS-znXlvk7XCK7aIwTkMQ=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzL2U2MjhlZTE1LWMxODAtNGJlMC04Yjc2LWEyNDBiODk0OGRkZS5qcGc=,https://www.rottentomatoes.com/m/novocaine_2025
A Deadly American Marriage,,,https://resizing.flixster.com/cjDb6igj1TI1vsndIMKWtlE-lY8=/206x305/v2/https://resizing.flixster.com/be0Rvc8PGgv5CJo8Spl229NXb1E=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzL2Y4NTE0ZTIwLTZjNzMtNDUxZC05MTNiLTdjOWU1ODVhZmJiNy5qcGc=,https://www.rottentomatoes.com/m/a_deadly_american_marriage
Mickey 17,77%,73%,https://resizing.flixster.com/MXPAoeB3VE-VkdktfIYwfnGgc1o=/206x305/v2/https://resizing.flixster.com/1OiUfykO45X98oT74J71RvidMxA=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzL2ExNDlhNzE2LTFlODMtNGMyNi04ZWY1LTNlYmY5N2ZmYWJhNy5qcGc=,https://www.rottentomatoes.com/m/mickey_17
Death of a Unicorn,54%,78%,https://resizing.flixster.com/0nK4RvUzFBsCOof1PGK7S7DSJlg=/206x305/v2/https://resizing.flixster.com/0hgK9M6-0k3v5wwaOYkpIjt1WmI=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzQxZGMzNzA5LWQ3YzQtNGY2NS05YTM2LTQzYTI2YTdjMTQ4Yi5qcGc=,https://www.rottentomatoes.com/m/death_of_a_unicorn
A Nice Indian Boy,96%,97%,https://resizing.flixster.com/frdRrPZ6isDEcQukdL8Cw4kB2F4=/206x305/v2/https://resizing.flixster.com/uOdXqXeFfl8a9Tzh2Md6m8MQDVY=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzL2Y5ZTE5MDM2LTBlMzMtNDQ4OC1hYWRiLWJkZWQzN2I2OWM2MC5qcGc=,https://www.rottentomatoes.com/m/a_nice_indian_boy
A Simple Favor,84%,73%,https://resizing.flixster.com/ySM_CKOyv4yUfUUqP-aRJ1GTAj4=/206x305/v2/https://resizing.flixster.com/cTnb7PHb0ZNtSPZc4lJGhK2Da6w=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzL2E4MjE1Nzk4LTllZjEtNGEzMy04ZWVlLTM0ZTA5YWI0M2MxMC53ZWJw,https://www.rottentomatoes.com/m/a_simple_favor
Sharp Corner,92%,,https://resizing.flixster.com/nwgJNmAJIrsyn1WpeLaqERDb_uk=/206x305/v2/https://resizing.flixster.com/u9J9CHv3j1Uf0JrijUE5W4efNog=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzkzYWQxODY1LTVjZGMtNDdjMy04MzFlLTliZGY0OTMxZmRmMi5qcGc=,https://www.rottentomatoes.com/m/sharp_corner
The Assessment,82%,93%,https://resizing.flixster.com/mP9x5mqYc2QV-4zHGyEi-zTCTkw=/206x305/v2/https://resizing.flixster.com/1IcsxwWfWYb2aBlveDgszIqOATE=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzg5NTg0N2I5LTFmOTItNGY1Zi04OWJkLWNmMzdmMDcyNmE0NC5qcGc=,https://www.rottentomatoes.com/m/the_assessment
