show_title,critics_score,audience_score,img_url,show_url
The Studio,93%,70%,https://resizing.flixster.com/Mf_soSYZxExLFoQrHA0GyL_mTHs=/206x305/v2/https://resizing.flixster.com/omxMl7Y4N6VcTiqIpZJNPhmpcwY=/ems.cHJkLWVtcy1hc3NldHMvdHZzZXJpZXMvOTFjZGI3N2ItZTM3NC00NmMzLWFhZjMtOTE0Y2I0YjI3ODQ1LnBuZw==,https://www.rottentomatoes.com/tv/the_studio
Blood of Zeus,100%,94%,https://resizing.flixster.com/WDcMLpWLiUID837_QZWLdXBASko=/206x305/v2/https://resizing.flixster.com/4-oCEh3ei_eakd5e6ce6pDrOKO4=/ems.cHJkLWVtcy1hc3NldHMvdHZzZXJpZXMvMDM0MmZhZmQtNjI3Yi00ZDYyLTk0ZDUtYjNhMjM1NTRkMjc1LmpwZw==,https://www.rottentomatoes.com/tv/blood_of_zeus
Star Wars: Tales of the Underworld,100%,77%,https://resizing.flixster.com/W1zxVAWtaVda96N5q3aIJlF3jEE=/206x305/v2/https://resizing.flixster.com/KS4BWraS8DlXSiU1Jyqg4mwo4Q8=/ems.cHJkLWVtcy1hc3NldHMvdHZzZXJpZXMvMTA4NDkwNzAtZjM3Zi00ZDkwLThmYjctYTBkOWQ4YzBhMjk1LmpwZw==,https://www.rottentomatoes.com/tv/star_wars_tales_of_the_underworld
Ransom Canyon,45%,71%,https://resizing.flixster.com/h6ruoTi1kFq_zGZ5_YdEOXnFGG4=/206x305/v2/https://resizing.flixster.com/0EuimqF_94f3QKeUxcaFQwzkPEI=/ems.cHJkLWVtcy1hc3NldHMvdHZzZXJpZXMvMWY4ZDAyMzctYjlkMi00ZGU1LWI1MjktYmYxY2E2MDZhNWNhLmpwZw==,https://www.rottentomatoes.com/tv/ransom_canyon
When Life Gives You Tangerines,100%,99%,https://resizing.flixster.com/c65lWUHAQhsCESfItQe7PfBzSJQ=/206x305/v2/https://resizing.flixster.com/tgqoxm9m00e4rkPJRvT2SHipEZQ=/ems.cHJkLWVtcy1hc3NldHMvdHZzZXJpZXMvZTAzZDA1MWItN2E5Yy00ZjIzLWE4ZjktOTNhYTkwMGU2ZDE0LmpwZw==,https://www.rottentomatoes.com/tv/when_life_gives_you_tangerines
The Handmaid's Tale,84%,57%,https://resizing.flixster.com/rLStJphBU4E9-DD7seyYRsWPKag=/206x305/v2/https://resizing.flixster.com/_TYhagaoLCBPP32pnV7Yj4eV0d0=/ems.cHJkLWVtcy1hc3NldHMvdHZzZXJpZXMvNGZjMzNhOGQtZTI5My00NDFjLTkwYjYtNTkxZTIyYTIxNjA5LmpwZw==,https://www.rottentomatoes.com/tv/the_handmaids_tale
Black Snow,100%,87%,https://resizing.flixster.com/9Tupkz7ikgonZ8IaR5DQguijCp0=/206x305/v2/https://resizing.flixster.com/DQm-h-980qepXb6disuRYIPmZHY=/ems.cHJkLWVtcy1hc3NldHMvdHZzZXJpZXMvMjMyMjFiYTgtZDI0OC00N2ZlLThmMGYtYWI3NzVhZDllMTcwLmpwZw==,https://www.rottentomatoes.com/tv/black_snow
The Walking Dead: Dead City,71%,53%,https://resizing.flixster.com/uS4tj0RLOO4KGAQMltJE3Glv1JI=/206x305/v2/https://resizing.flixster.com/ZaKW7--TnehVQJIZfIB8aW1npFk=/ems.cHJkLWVtcy1hc3NldHMvdHZzZXJpZXMvYTdiYTgzM2QtNzVjNS00Yzc0LTlhOTctZTI0YjVmMzc3NTE4LmpwZw==,https://www.rottentomatoes.com/tv/the_walking_dead_dead_city
Overcompensating,92%,,https://resizing.flixster.com/QAWHVfH56HQmRYCWDFqpyoSi_V8=/206x305/v2/https://resizing.flixster.com/hh9tC8xjiFXxilfkzZhtSEoxBk0=/ems.cHJkLWVtcy1hc3NldHMvdHZzZXJpZXMvMjhjZmNjZjgtMDc3ZC00NzM0LTliMjItMGNlNTg0ZTk0NmQzLmpwZw==,https://www.rottentomatoes.com/tv/overcompensating
The White Lotus,89%,77%,https://resizing.flixster.com/oJFaHTriFOWhSWTG9lzOrSfSsgA=/206x305/v2/https://resizing.flixster.com/JLcQZZw-D8vYkMF6A4QDvOCkyzY=/ems.cHJkLWVtcy1hc3NldHMvdHZzZXJpZXMvM2NjMDdiZmEtM2U4Yi00ZDc2LTljYWYtM2VlNDhiZjhmMDUzLmpwZw==,https://www.rottentomatoes.com/tv/the_white_lotus
Unseen,,76%,https://resizing.flixster.com/qAjM5g5NSGlEWpF5MZjBum3b5o4=/206x305/v2/https://resizing.flixster.com/m4vz_3pkMyITKTI_fsscuD1rxT8=/ems.cHJkLWVtcy1hc3NldHMvdHZzZXJpZXMvYWZkNTdjYjgtMmZhYi00ZTM1LWIxMDAtMmExMzE0MWRmNzM3LmpwZw==,https://www.rottentomatoes.com/tv/unseen
Black Mirror,83%,80%,https://resizing.flixster.com/_zS6UoJbJuzzna7gggEBC3nWeEA=/206x305/v2/https://resizing.flixster.com/yL-MXHM_ttXdnKBofDnTdOQf_WE=/ems.cHJkLWVtcy1hc3NldHMvdHZzZXJpZXMvZmQ5YTcxMDgtZWI5My00MmQzLWI1OGMtNTI0Zjk1NGYyYTBhLmpwZw==,https://www.rottentomatoes.com/tv/black_mirror
Étoile,86%,76%,https://resizing.flixster.com/J4W69jMU4IXe2bjr3H2u7rxRaek=/206x305/v2/https://resizing.flixster.com/Icabygj3lazZM086WlQJ4Pr_4_k=/ems.cHJkLWVtcy1hc3NldHMvdHZzZXJpZXMvNjY2MWRmZDgtZWU3OS00NTM0LWEzMTQtYjFjMDMxZmMxNWMwLmpwZw==,https://www.rottentomatoes.com/tv/etoile
